DATE,CPIAUCSL_PC1
2015-01-01,-0.22993
2015-02-01,-0.08703
2015-03-01,-0.02203
2015-04-01,-0.10403
2015-05-01,0.03503
2015-06-01,0.17957
2015-07-01,0.22569
2015-08-01,0.24130
2015-09-01,0.00884
2015-10-01,0.12762
2015-11-01,0.43632
2015-12-01,0.63872
2016-01-01,1.23750
2016-02-01,0.84728
2016-03-01,0.89162
2016-04-01,1.17263
2016-05-01,1.07848
2016-06-01,1.07929
2016-07-01,0.86836
2016-08-01,1.05532
2016-09-01,1.54864
2016-10-01,1.68592
2016-11-01,1.68433
2016-12-01,2.05080
2017-01-01,2.51039
2017-02-01,2.81036
2017-03-01,2.44120
2017-04-01,2.17622
2017-05-01,1.85634
2017-06-01,1.64057
2017-07-01,1.72511
2017-08-01,1.92812
2017-09-01,2.18057
2017-10-01,2.02076
2017-11-01,2.17249
2017-12-01,2.12993
2018-01-01,2.15132
2018-02-01,2.26347
2018-03-01,2.33095
2018-04-01,2.47100
2018-05-01,2.78192
2018-06-01,2.80755
2018-07-01,2.85412
2018-08-01,2.64292
2018-09-01,2.33206
2018-10-01,2.49203
2018-11-01,2.14733
2018-12-01,2.00238
2019-01-01,1.55068
2019-02-01,1.52006
2019-03-01,1.85314
2019-04-01,1.99179
2019-05-01,1.79352
2019-06-01,1.64968
2019-07-01,1.77976
2019-08-01,1.74678
2019-09-01,1.71662
2019-10-01,1.76918
2019-11-01,2.06220
2019-12-01,2.31399
2020-01-01,2.50042
2020-02-01,2.33932
2020-03-01,1.54287
2020-04-01,0.34520
2020-05-01,0.22641
2020-06-01,0.71602
2020-07-01,1.01414
2020-08-01,1.30907
2020-09-01,1.37148
2020-10-01,1.18253
2020-11-01,1.16756
2020-12-01,1.32204
2021-01-01,1.39478
2021-02-01,1.69336
2021-03-01,2.63052
2021-04-01,4.13055
2021-05-01,4.91503
2021-06-01,5.28161
2021-07-01,5.22151
2021-08-01,5.18829
2021-09-01,5.38363
2021-10-01,6.23775
2021-11-01,6.86239
2021-12-01,7.19446
2022-01-01,7.59528
2022-02-01,7.95485
2022-03-01,8.51522
2022-04-01,8.22777
2022-05-01,8.50233
2022-06-01,8.93299
2022-07-01,8.41318
2022-08-01,8.22736
2022-09-01,8.21485
2022-10-01,7.76249
2022-11-01,7.13535
2022-12-01,6.44494
2023-01-01,6.34716
2023-02-01,5.98644
2023-03-01,4.98692
2023-04-01,4.95719
2023-05-01,4.12884
2023-06-01,3.09200
2023-07-01,3.29908
2023-08-01,3.70750
